INSTNM,INSTURL
CUNY Brooklyn College,www.brooklyn.cuny.edu/
College of Staten Island CUNY,www.csi.cuny.edu/
CUNY City College,www.ccny.cuny.edu/
CUNY Graduate School and University Center,www.gc.cuny.edu/
CUNY Hostos Community College,www.hostos.cuny.edu/
CUNY Hunter College,www.hunter.cuny.edu/
CUNY John Jay College of Criminal Justice,www.jjay.cuny.edu/
CUNY Kingsborough Community College,www.kbcc.cuny.edu/
CUNY LaGuardia Community College,www.lagcc.cuny.edu/
CUNY Lehman College,www.lehman.edu/
CUNY Medgar Evers College,https://www.mec.cuny.edu/
CUNY New York City College of Technology,www.citytech.cuny.edu/
CUNY Queens College,https://www.qc.cuny.edu/
CUNY Queensborough Community College,www.qcc.cuny.edu/
CUNY School of Law,https://www.law.cuny.edu/
CUNY York College,www.york.cuny.edu/
CVPH Medical Center School of Radiologic Technology,www.cvph.org/Residency-and-Education/School-of-Radiology/
D'Youville  University,www.dyu.edu/
Daemen University,www.daemen.edu/
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,https://www.yofr.org/
Dominican University New York,www.duny.edu/
Dutchess Community College,https://www.sunydutchess.edu/
Belanger School of Nursing,www.ellismedicine.org/school-of-nursing/
Elmira College,https://www.elmira.edu/
Erie Community College,www.ecc.edu/
Fashion Institute of Technology,www.fitnyc.edu/
Finger Lakes Community College,www.flcc.edu/
Five Towns College,www.ftc.edu/
Fordham University,https://www.fordham.edu/
Fulton-Montgomery Community College,www.fmcc.edu/
Gemological Institute of America-New York,www.gia.edu/gem-education
Genesee Community College,https://www.genesee.edu/
Hamilton College,https://www.hamilton.edu/
Hartwick College,www.hartwick.edu/
Helene Fuld College of Nursing,https://www.helenefuld.edu/
Herkimer County Community College,www.herkimer.edu/
Hilbert College,www.hilbert.edu/
Hobart William Smith Colleges,www.hws.edu/
Hofstra University,www.hofstra.edu/
Houghton University,www.houghton.edu/
Hudson Valley Community College,www.hvcc.edu/
Hunter Business School,hunterbusinessschool.edu/
Iona University,www.iona.edu/
Isabella Graham Hart School of Practical Nursing,www.rochesterregional.org/for-healthcare-professionals/residency-training-programs/igh-school-of-practical-nursing/
Island Drafting and Technical Institute,https://www.idti.edu/
Ithaca College,www.ithaca.edu/
Jamestown Community College,https://www.sunyjcc.edu/
Jamestown Business College,www.jbc.edu/
Jefferson Community College,https://www.sunyjefferson.edu/
Jewish Theological Seminary of America,www.jtsa.edu/
The Juilliard School,www.juilliard.edu/
Kehilath Yakov Rabbinical Seminary,kehilathyakov.com/
Keuka College,https://www.keuka.edu/
LIM College,www.limcollege.edu/
Le Moyne College,www.lemoyne.edu/
Long Island University,www.liu.edu/
Long Island Beauty School-Hempstead,www.libs.edu/
Long Island Business Institute,www.libi.edu/
Machzikei Hadath Rabbinical College,https://mhrc.edu/
Mandl School-The College of Allied Health,www.mandl.edu/
Manhattan College,www.manhattan.edu/
Manhattan School of Music,www.msmnyc.edu/
Manhattanville College,https://www.mville.edu/
Maria College of Albany,www.mariacollege.edu/
Marion S Whelan School of Nursing of Geneva General Hospital,www.mswspn.com/
Marist College,www.marist.edu/
Marymount Manhattan College,www.mmm.edu/
St. Peter's Hospital College of Nursing,https://www.sphp.com/careers/schools-of-nursing/
Memorial Hospital School of Radiation Therapy Technology,www.mskcc.org/mskcc/html/13431.cfm
Mercy University,https://www.mercy.edu/
Mesivta Torah Vodaath Rabbinical Seminary,independentrabbinicalcolleges.org/index.html
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,https://mesivtaofeasternparkway.com/
Mesivtha Tifereth Jerusalem of America,mtj.edu/
Mildred Elley School-Albany Campus,www.mildred-elley.edu/
Mirrer Yeshiva Cent Institute,www.mirreryeshiva.com/
Modern Welding School,modernwelding.com/
Mohawk Valley Community College,www.mvcc.edu/
Molloy College,www.molloy.edu/
Monroe College,www.monroecollege.edu/
Monroe Community College,www.monroecc.edu/
Mount Saint Mary College,www.msmc.edu/
Montefiore School of Nursing,montefiorenewrochelle.org/school-of-nursing
University of Mount Saint Vincent,www.mountsaintvincent.edu/
Icahn School of Medicine at Mount Sinai,icahn.mssm.edu/
Nassau Community College,www.ncc.edu/
Nazareth University,https://www2.naz.edu/
Neighborhood Playhouse School of the Theater,www.neighborhoodplayhouse.org/
The New School,https://www.newschool.edu/
Northeast College of Health Sciences,https://www.northeastcollege.edu/
New York Law School,www.nyls.edu/
New York Medical College,https://www.nymc.edu/
New York School for Medical and Dental Assistants,nysmda.com/
New York Theological Seminary,https://www.nyts.edu/
New York University,https://www.nyu.edu/
Niagara County Community College,www.niagaracc.suny.edu/
Niagara University,www.niagara.edu/
Empire Beauty School-Peekskill,www.empire.edu/
North Country Community College,www.nccc.edu/
New York College of Podiatric Medicine,www.nycpm.edu/
New York Institute of Technology,www.nyit.edu/
New York School of Interior Design,www.nysid.edu/
Ohr Hameir Theological Seminary,https://ohrhameir.com/
Onondaga Community College,www.sunyocc.edu/
Orange County Community College,https://sunyorange.edu/
Otsego Area BOCES-Practical Nursing Program,www.oncboces.org/
Pace University,www.pace.edu/
Paul Smiths College of Arts and Science,https://www.paulsmiths.edu/
Continental School of Beauty Culture-West Seneca,continentalschoolofbeauty.edu/
Plaza College,www.plazacollege.edu/
Davis College,https://davisny.edu/
Pratt Institute-Main,https://www.pratt.edu/
Rabbinical Academy Mesivta Rabbi Chaim Berlin,https://rabbinicalacademyrabbichaimberlin.com/
Rabbinical College Bobover Yeshiva Bnei Zion,rabbinicalcollegeboboveryeshiva.edu/
Rabbinical College Beth Shraga,https://rabbinicalcollegebethshraga.com/
Rabbinical Seminary Mkor Chaim,https://www.mkorchaim.org/
Rabbinical College of Long Island,https://rabbinicalcollegelongisland.com/
Rabbinical Seminary of America,www.rabbinical.org/
Rensselaer Polytechnic Institute,www.rpi.edu/
Roberts Wesleyan University,www.roberts.edu/
Rochester Institute of Technology,www.rit.edu/
University of Rochester,https://www.rochester.edu/
The Rockefeller University,www.rockefeller.edu/
Rockland Community College,www.sunyrockland.edu/
Empire Beauty School-Manhattan,www.empire.edu/
Russell Sage College,sage.edu/
St Bernard's School of Theology and Ministry,www.stbernards.edu/
St Bonaventure University,https://www.sbu.edu/
St. Francis College,https://www.sfc.edu/
St. Joseph's College of Nursing,https://www.sjhcon.edu/
St Lawrence University,www.stlawu.edu/
The College of Saint Rose,www.strose.edu/
St. Thomas Aquinas College,www.stac.edu/
Samaritan Hospital School of Nursing,https://www.sphp.com/careers/schools-of-nursing/
Sarah Lawrence College,www.sarahlawrence.edu/
Schenectady County Community College,sunysccc.edu/
Sh'or Yoshuv Rabbinical College,https://www.shoryoshuv.org/
Siena College,https://www.siena.edu/
Skidmore College,www.skidmore.edu/
St. Joseph's University-New York,www.sjny.edu/
Saint Vladimirs Orthodox Theological Seminary,www.svots.edu/
Saint Elizabeth College of Nursing,https://www.secon.edu/
St. John Fisher University,https://www.sjf.edu/
St Paul's School of Nursing-Staten Island,www.stpaulsschoolofnursing.edu/
St. John's University-New York,www.stjohns.edu/
Sullivan County Community College,https://www.sunysullivan.edu/
SUNY College of Technology at Alfred,www.alfredstate.edu/
SUNY College of Technology at Canton,www.canton.edu/
SUNY College of Technology at Delhi,www.delhi.edu/
SUNY College of Agriculture and Technology at Cobleskill,www.cobleskill.edu/
Farmingdale State College,www.farmingdale.edu/
SUNY Morrisville,www.morrisville.edu/
University at Albany,www.albany.edu/
Binghamton University,www.binghamton.edu/
University at Buffalo,https://www.buffalo.edu/
Stony Brook University,https://www.stonybrook.edu/
SUNY College of Environmental Science and Forestry,www.esf.edu/
SUNY Polytechnic Institute,www.sunypoly.edu/
SUNY Brockport,https://www.brockport.edu/
SUNY Buffalo State University,https://suny.buffalostate.edu/
State University of New York at Cortland,www2.cortland.edu/
SUNY at Fredonia,https://www.fredonia.edu/
SUNY College at Geneseo,https://www.geneseo.edu/
State University of New York at New Paltz,www.newpaltz.edu/
SUNY Oneonta,https://suny.oneonta.edu/
State University of New York at Oswego,https://www.oswego.edu/
SUNY College at Potsdam,www.potsdam.edu/
SUNY at Purchase College,www.purchase.edu/
SUNY College of Optometry,www.sunyopt.edu/
SUNY Old Westbury,www.oldwestbury.edu/
SUNY College at Plattsburgh,https://www.plattsburgh.edu/
SUNY Downstate Health Sciences University,https://www.downstate.edu/
Empire State University,www.sunyempire.edu/
SUNY Maritime College,www.sunymaritime.edu/
Upstate Medical University,www.upstate.edu/
Swedish Institute a College of Health Sciences,www.swedishinstitute.edu/
Syracuse University,https://www.syracuse.edu/
Talmudical Seminary Oholei Torah,www.tsot.edu/
Talmudical Institute of Upstate New York,https://www.tiuny.org/
Teachers College at Columbia University,www.tc.columbia.edu/
Tompkins Cortland Community College,www.tompkinscortland.edu/
Torah Temimah Talmudical Seminary,https://torahtemimahtalmudicalseminary.com/
Touro University,https://www.touro.edu/
Trocaire College,https://trocaire.edu/
Excelsior University,www.excelsior.edu/
Ulster County Community College,https://www.sunyulster.edu/
Union College,www.union.edu/
Union Theological Seminary in the City of New York,utsnyc.edu/
United Talmudical Seminary,utsny.edu/
United States Merchant Marine Academy,https://www.usmma.edu/
United States Military Academy,www.westpoint.edu/
Utica University,https://www.utica.edu/
Vassar College,www.vassar.edu/
Villa Maria College,https://www.villa.edu/
School of Visual Arts,www.sva.edu/
Wagner College,www.wagner.edu/
Webb Institute,www.webb.edu/
Wells College,www.wells.edu/
The College of Westchester,www.cw.edu/
SUNY Westchester Community College,www.sunywcc.edu/
Westchester School of Beauty Culture,westchesterschoolofbeautycultureny.com/
Word of Life Bible Institute,www.wordoflife.edu/
Yeshiva Karlin Stolin,https://yeshivakarlinstolin.org/
Yeshiva Derech Chaim,https://ydc.edu/
Yeshiva of Nitra Rabbinical College,yeshivaofnitra.org/
Yeshivath Shaar Hatorah,shaarhatorah.edu/
Yeshiva University,www.yu.edu/
Yeshivath Viznitz,https://yeshivathviznitz.com/
Yeshivath Zichron Moshe,https://yeshivathzichronmoshe.com/
College of the Albemarle,www.albemarle.edu/
South Piedmont Community College,https://www.spcc.edu/
Appalachian State University,https://www.appstate.edu/
Asheville-Buncombe Technical Community College,www.abtech.edu/
Barton College,https://www.barton.edu/
Beaufort County Community College,www.beaufortccc.edu/
Belmont Abbey College,www.belmontabbeycollege.edu/
Bennett College,https://www.bennett.edu/
Bladen Community College,https://www.bladencc.edu/
Blue Ridge Community College,www.blueridge.edu/
Brevard College,https://www.brevard.edu/
Brunswick Community College,www.brunswickcc.edu/
Cabarrus College of Health Sciences,https://cabarruscollege.edu/
Caldwell Community College and Technical Institute,https://www.cccti.edu/
Campbell University,https://www.campbell.edu/
Cape Fear Community College,www.cfcc.edu/
Carteret Community College,www.carteret.edu/
Catawba College,www.catawba.edu/
Catawba Valley Community College,www.cvcc.edu/
Central Carolina Community College,www.cccc.edu/
Central Piedmont Community College,www.cpcc.edu/
Chowan University,https://www.chowan.edu/
Cleveland Community College,www.clevelandcc.edu/
Coastal Carolina Community College,www.coastalcarolina.edu/
Craven Community College,https://cravencc.edu/
Davidson-Davie Community College,www.davidsondavie.edu/
Davidson College,https://davidson.edu/
Duke University,www.duke.edu/
Durham Technical Community College,www.durhamtech.edu/
East Carolina University,https://www.ecu.edu/
Edgecombe Community College,www.edgecombe.edu/
Elizabeth City State University,https://www.ecsu.edu/
Elon University,www.elon.edu/
Fayetteville Technical Community College,https://www.faytechcc.edu/
Fayetteville State University,https://www.uncfsu.edu/
Forsyth Technical Community College,https://www.forsythtech.edu/
Gardner-Webb University,www.gardner-webb.edu/
Gaston College,www.gaston.edu/
Greensboro College,https://www.greensboro.edu/
Guilford College,https://www.guilford.edu/
Guilford Technical Community College,www.gtcc.edu/
Halifax Community College,www.halifaxcc.edu/
Haywood Community College,https://www.haywood.edu/
Heritage Bible College,www.heritagebiblecollege.edu/
High Point University,www.highpoint.edu/
Isothermal Community College,https://www.isothermal.edu/
James Sprunt Community College,www.jamessprunt.edu/
Johnson C Smith University,https://www.jcsu.edu/
Johnston Community College,www.johnstoncc.edu/
Lees-McRae College,www.lmc.edu/
Lenoir Community College,https://www.lenoircc.edu/
Lenoir-Rhyne University,www.lr.edu/
Leons Beauty School Inc,www.leonsbeauty.com/
Livingstone College,livingstone.edu/
Louisburg College,www.louisburg.edu/
Mars Hill University,www.mhu.edu/
Martin Community College,www.martincc.edu/
Mayland Community College,https://www.mayland.edu/
McDowell Technical Community College,https://www.mcdowelltech.edu/
Meredith College,www.meredith.edu/
Methodist University,www.methodist.edu/
Miller-Motte College-Wilmington,https://www.miller-motte.edu/
Mitchell Community College,https://www.mitchellcc.edu/
Mitchells Academy,www.mitchells.edu/
Montgomery Community College,www.montgomery.edu/
Montreat College,https://www.montreat.edu/
University of Mount Olive,https://umo.edu/
College of Wilmington,www.collegeofwilmington.edu/
Nash Community College,https://www.nashcc.edu/
North Carolina A & T State University,www.ncat.edu/
University of North Carolina Asheville,https://unca.edu/
University of North Carolina at Chapel Hill,https://www.unc.edu/
University of North Carolina at Charlotte,https://www.charlotte.edu/
University of North Carolina at Greensboro,www.uncg.edu/
North Carolina Central University,https://www.nccu.edu/
University of North Carolina School of the Arts,www.uncsa.edu/
North Carolina State University at Raleigh,www.ncsu.edu/
North Carolina Wesleyan University,www.ncwc.edu/
University of North Carolina Wilmington,www.uncw.edu/
Pamlico Community College,www.pamlicocc.edu/
William Peace University,www.peace.edu/
University of North Carolina at Pembroke,https://www.uncp.edu/
Pfeiffer University,www.pfeiffer.edu/
Piedmont Community College,www.piedmontcc.edu/
Pitt Community College,https://pittcc.edu/
Queens University of Charlotte,www.queens.edu/
Randolph Community College,https://www.randolph.edu/
Richmond Community College,https://www.richmondcc.edu/
Mid-Atlantic Christian University,www.macuniversity.edu/
Roanoke-Chowan Community College,www.roanokechowan.edu/
Robeson Community College,www.robeson.edu/
Rockingham Community College,https://www.rockinghamcc.edu/
Rowan-Cabarrus Community College,https://www.rccc.edu/
Saint Augustine's University,www.st-aug.edu/
Salem College,www.salem.edu/
Sampson Community College,www.sampsoncc.edu/
Sandhills Community College,https://www.sandhills.edu/
Shaw University,www.shawu.edu/
Paul Mitchell the School-Fayetteville,paulmitchell.edu/fayetteville
St. Andrews University,www.sa.edu/
Southeastern Community College,www.sccnc.edu/
Southwestern Community College,https://www.southwesterncc.edu/
Stanly Community College,www.stanly.edu/
Southeastern Baptist Theological Seminary,www.sebts.edu/
Surry Community College,https://surry.edu/
Alamance Community College,www.alamancecc.edu/
Tri-County Community College,https://www.tricountycc.edu/
Vance-Granville Community College,www.vgcc.edu/
Wake Forest University,www.wfu.edu/
Wake Technical Community College,www.waketech.edu/
Warren Wilson College,https://www.warren-wilson.edu/
Watts College of Nursing,wattscollegeofnursing.edu/
Wayne Community College,www.waynecc.edu/
Western Piedmont Community College,https://www.wpcc.edu/
Wilkes Community College,www.wilkescc.edu/
Wilson Community College,www.wilsoncc.edu/
Wingate University,https://www.wingate.edu/
Carolina Christian College,www.carolina.edu/
Winston Salem Barber School,www.wsbarberschool.com/
Winston-Salem State University,www.wssu.edu/
Western Carolina University,www.wcu.edu/
Rasmussen University-North Dakota,https://rasmussen.edu/
Bismarck State College,https://bismarckstate.edu/
Dickinson State University,www.dickinsonstate.edu/
Nueta Hidatsa Sahnish College,www.nhsc.edu/
Josef's School of Hair Skin & Body-Grand Forks,www.josefsschoolofhairdesign.com/
University of Jamestown,www.uj.edu/
Lake Region State College,www.lrsc.edu/
Cankdeska Cikana Community College,www.littlehoop.edu/
University of Mary,https://www.umary.edu/
Mayville State University,www.mayvillestate.edu/
Minot State University,www.minotstateu.edu/
University of North Dakota,https://und.edu/
North Dakota State College of Science,https://www.ndscs.edu/
Dakota College at Bottineau,www.dakotacollege.edu/
North Dakota State University-Main Campus,https://www.ndsu.edu/
Williston State College,https://willistonstate.edu/
Sitting Bull College,https://www.sittingbull.edu/
Trinity Bible College and Graduate School,trinitybiblecollege.edu/
Turtle Mountain Community College,www.tm.edu/
United Tribes Technical College,https://uttc.edu/
Valley City State University,www.vcsu.edu/
ETI Technical College,https://eticollege.edu/
Air Force Institute of Technology-Graduate School of Engineering & Management,www.afit.edu/
Herzing University-Akron,https://www.herzing.edu/
University of Akron Main Campus,www.uakron.edu/
University of Akron Wayne College,https://wayne.uakron.edu/
Allegheny Wesleyan College,awc.edu/
Apollo Career Center,https://www.apollocareercenter.com/adult-education/
Art Academy of Cincinnati,https://www.artacademy.edu/
Ashland County-West Holmes Career Center,www.acwhcc.org/
Ashland University,https://www.ashland.edu/
Ashtabula County Technical and Career Campus,www.atech.edu/
Athenaeum of Ohio,https://www.athenaeum.edu/
Auburn Career Center,https://www.auburncc.org/
Aultman College of Nursing and Health Sciences,https://www.aultmancollege.edu/
Baldwin Wallace University,https://www.bw.edu/
Belmont College,www.belmontcollege.edu/
Bluffton University,www.bluffton.edu/
Bowling Green State University-Firelands,https://www.firelands.bgsu.edu/
Bowling Green State University-Main Campus,www.bgsu.edu/
Bryant & Stratton College-Parma,https://www.bryantstratton.edu/
Buckeye Hills Career Center,www.buckeyehills.net/
Butler Technology and Career Development Schools,www.butlertech.org/
Canton City Schools Adult Career and Technical Education,https://www.ccsdistrict.org/site/default.aspx?PageID=189
Capital University,https://www.capital.edu/
Case Western Reserve University,www.case.edu/
Cedarville University,https://www.cedarville.edu/
Central Ohio Technical College,www.cotc.edu/
Central School of Practical Nursing,https://www.cspnohio.edu/
Central State University,https://www.centralstate.edu/
Choffin Career  and Technical Center,www.choffinctcadulted.com/
The Christ College of Nursing and Health Sciences,https://www.thechristcollege.edu/
Cincinnati College of Mortuary Science,www.ccms.edu/
University of Cincinnati-Main Campus,www.uc.edu/
Cincinnati State Technical and Community College,www.cincinnatistate.edu/
University of Cincinnati-Clermont College,www.ucclermont.edu/
University of Cincinnati-Blue Ash College,www.ucblueash.edu/
Ohio Christian University,www.ohiochristian.edu/
Clark State College,https://www.clarkstate.edu/
Cleveland Institute of Art,www.cia.edu/
Cleveland Institute of Music,www.cim.edu/
Cleveland State University,www.csuohio.edu/
Columbiana County Career and Technical Center,www.ccctc.k12.oh.us/
Columbus College of Art & Design,www.ccad.edu/
Columbus State Community College,https://www.cscc.edu/
Cuyahoga Community College District,www.tri-c.edu/
Davis College,www.daviscollege.edu/
Dayton Barber College,www.daytonbarbercollege.edu/
University of Dayton,https://udayton.edu/
Defiance College,www.defiance.edu/
Denison University,https://www.denison.edu/
Edison State Community College,www.edisonohio.edu/
EHOVE Career Center,www.ehove.net/
The University of Findlay,findlay.edu/
Franklin University,www.franklin.edu/
Gerbers Akron Beauty School,akronbeautyschool.com/
Gods Bible School and College,www.gbs.edu/
Good Samaritan College of Nursing and Health Science,www.gscollege.edu/
Great Oaks Career Campuses,www.greatoaks.com/
Hannah E Mullins School of Practical Nursing,https://hemspn.edu/
Adult and Community Education-Hudson,https://www.ccsoh.us/site/Default.aspx?PageID=334
Hebrew Union College-Jewish Institute of Religion,www.huc.edu/
Heidelberg University,https://www.heidelberg.edu/
Hiram College,www.hiram.edu/
Hobart Institute of Welding Technology,www.welding.org/
Hocking College,www.hocking.edu/
Ross Medical Education Center-Cincinnati,https://rosseducation.edu/
International College of Broadcasting,www.icb.edu/
Eastern Gateway Community College,www.egcc.edu/
John Carroll University,jcu.edu/
Hondros College of Nursing,www.hondros.edu/
Casal Aveda Institute,www.casalaveda.com/
Kent State University at Ashtabula,www.kent.edu/ashtabula
Kent State University at East Liverpool,www.kent.edu/columbiana
Kent State University at Stark,www.kent.edu/stark
Kent State University at Trumbull,www.kent.edu/trumbull
Kent State University at Tuscarawas,www.kent.edu/tusc
Kent State University at Salem,www.kent.edu/columbiana
Kent State University at Kent,www.kent.edu/
Kent State University at Geauga,www.kent.edu/geauga
Kenyon College,https://www.kenyon.edu/
Kettering College,kc.edu/
Lake Erie College,www.lec.edu/
Lakeland Community College,www.lakelandcc.edu/
Collins Career Technical Center,www.collins-cc.edu/
James A. Rhodes State College,www.rhodesstate.edu/
Ohio Business College-Sheffield,www.ohiobusinesscollege.edu/
Ohio Business College-Sandusky,www.ohiobusinesscollege.edu/
Lorain County Community College,https://www.lorainccc.edu/
Lourdes University,www.lourdes.edu/
Malone University,https://www.malone.edu/
Marietta College,https://www.marietta.edu/
Marion Technical College,www.mtc.edu/
Medina County Career Center,https://mcjvs.edu/
Mercy College of Ohio,www.mercycollege.edu/
Methodist Theological School in Ohio,https://www.mtso.edu/
Miami University-Hamilton,miamioh.edu/regionals/
Miami University-Middletown,miamioh.edu/regionals/
Miami University-Oxford,miamioh.edu/
Moler Hollywood Beauty Academy,www.molerhollywood.com/
Miami Valley Career Technology Center,www.mvctc.com/ae
Mount Carmel College of Nursing,www.mccn.edu/
University of Mount Union,www.mountunion.edu/
Mount Vernon Nazarene University,www.mvnu.edu/
Mount St. Joseph University,www.msj.edu/
Zane State College,www.zanestate.edu/
Muskingum University,www.muskingum.edu/
National Beauty College,www.nationalbc.com/
North Central State College,https://www.ncstatecollege.edu/
Northern Institute of Cosmetology,www.nicosmetology.com/
Northwest State Community College,https://northweststate.edu/
Toledo Public Schools Adult and Continuing Education,www.tps.org/
Notre Dame College,www.notredamecollege.edu/
Northeast Ohio Medical University,www.neomed.edu/
University of Northwestern Ohio,https://www.unoh.edu/
Oberlin College,www.oberlin.edu/
Ohio Technical College,www.ohiotech.edu/
Ohio Dominican University,https://www.ohiodominican.edu/
Ohio Northern University,www.onu.edu/
Ohio State University Agricultural Technical Institute,ati.osu.edu/
Ohio State University-Lima Campus,lima.osu.edu/
Ohio State University-Mansfield Campus,mansfield.osu.edu/
Ohio State University-Marion Campus,osumarion.osu.edu/
Ohio State University-Newark Campus,newark.osu.edu/
Ohio State Beauty Academy,https://www.ohiostatebeauty.com/
Ohio State College of Barber Styling,www.osbc.edu/
The Spa School,https://salonschools.ohiostate.edu/
Ohio State School of Cosmetology-Canal Winchester,https://salonschools.ohiostate.edu/
Ohio State University-Main Campus,www.osu.edu/
Ohio University-Eastern Campus,https://www.ohio.edu/eastern/
Ohio University-Chillicothe Campus,https://www.ohio.edu/chillicothe/
Ohio University-Southern Campus,https://www.ohio.edu/southern/
Ohio University-Lancaster Campus,https://www.ohio.edu/lancaster/
Ohio University-Main Campus,https://www.ohio.edu/
Ohio University-Zanesville Campus,https://www.ohio.edu/zanesville/
East Ohio College,eastohio.edu/
Trinity Health System School of Nursing,https://trinityson.com/
Ohio Wesleyan University,https://www.owu.edu/
Otterbein University,https://www.otterbein.edu/
Owens Community College,https://www.owens.edu/
Paramount Beauty Academy,www.paramountbeautyacademy.com/
Cuyahoga Valley Career Center,www.cvccworks.edu/
Payne Theological Seminary,payneseminary.edu/
Pontifical College Josephinum,www.pcj.edu/
Professional Skills Institute,www.proskills.edu/
Firelands Regional Medical Center School of Nursing,https://www.firelands.com/schoolofnursing
Rabbinical College Telshe,independentrabbinicalcolleges.org/index.html
Raphael's School of Beauty Culture Inc-Niles,www.raphaelsbeautyschool.edu/
Fortis College-Centerville,https://www.fortiscollege.edu/
University of Rio Grande,https://www.rio.edu/
The Modern College of Design,https://themodern.edu/
Shawnee State University,https://www.shawnee.edu/
Sinclair Community College,www.sinclair.edu/
Stark State College,www.starkstate.edu/
Stautzenberger College-Maumee,https://www.sctoday.edu/
Franciscan University of Steubenville,www.franciscan.edu/
Southern State Community College,https://www.sscc.edu/
Terra State Community College,www.terra.edu/
Tiffin Academy of Hair Design,tiffinacademy.com/
Tiffin University,www.tiffin.edu/
University of Toledo,www.utoledo.edu/
Tri-State Bible College,https://tsbc.edu/
Tri-County Adult Career Center,www.tricountyhightech.com/
Tri-Rivers Career Center,www.tririvers.com/
United Theological Seminary,www.united.edu/
Upper Valley Career Center,https://www.uppervalleycc.org/o/adult-division
Ursuline College,www.ursuline.edu/
The North Coast College,https://www.thencc.edu/
Walsh University,https://www.walsh.edu/
Washington State Community College,www.wscc.edu/
Wilberforce University,www.wilberforce.edu/
Wilmington College,https://www.wilmington.edu/
Winebrenner Theological Seminary,winebrenner.edu/
Wittenberg University,www.wittenberg.edu/
The College of Wooster,https://wooster.edu/
Wright State University-Main Campus,www.wright.edu/
Wright State University-Lake Campus,https://lake.wright.edu/
Xavier University,https://www.xavier.edu/
Youngstown State University,https://ysu.edu/
Bacone College,www.bacone.edu/
Oklahoma Wesleyan University,www.okwu.edu/
Southern Nazarene University,https://www.snu.edu/
Pontotoc Technology Center,www.pontotoctech.edu/
Cameron University,https://www.cameron.edu/
Carl Albert State College,https://www.carlalbert.edu/
Central Oklahoma College,centraloc.edu/
University of Central Oklahoma,https://www.uco.edu/
Connors State College,connorsstate.edu/
East Central University,https://www.ecok.edu/
Eastern Oklahoma State College,www.eosc.edu/
Redlands Community College,www.redlandscc.edu/
Formations Institute,www.formationsinstitute.edu/
Eves College of Hairstyling,www.eliteacademyok.com/
Randall University,www.ru.edu/
Langston University,www.langston.edu/
Murray State College,https://www.mscok.edu/
Spartan College of Aeronautics and Technology,www.spartan.edu/
Northeastern State University,https://www.nsuok.edu/
Northern Oklahoma College,www.noc.edu/
Northeastern Oklahoma A&M College,www.neo.edu/
Northwestern Oklahoma State University,www.nwosu.edu/
Oklahoma State University Center for Health Sciences,https://medicine.okstate.edu/
Oklahoma Christian University,www.oc.edu/
University of Oklahoma-Health Sciences Center,ouhsc.edu/
Oklahoma Panhandle State University,www.opsu.edu/
Oklahoma State University-Main Campus,www.okstate.edu/
Oklahoma State University-Oklahoma City,www.osuokc.edu/
Oklahoma Baptist University,https://www.okbu.edu/
Oklahoma City Community College,www.occc.edu/
Oklahoma City University,www.okcu.edu/
University of Oklahoma-Norman Campus,www.ou.edu/
Oklahoma State University Institute of Technology,https://osuit.edu/
Oral Roberts University,https://oru.edu/
Rogers State University,https://www.rsu.edu/
Rose State College,https://www.rose.edu/
Jenks Beauty College,https://jenksbeautycollege.edu/
University of Science and Arts of Oklahoma,https://usao.edu/
Seminole State College,www.sscok.edu/
Southern School of Beauty Inc,www.southernschoolbeauty.com/
Southeastern Oklahoma State University,www.se.edu/
Southwestern Christian University,www.swcu.edu/
Southwestern Oklahoma State University,https://www.swosu.edu/
Tulsa Community College,www.tulsacc.edu/
Tulsa Welding School-Tulsa,https://www.tws.edu/
University of Tulsa,https://utulsa.edu/
Western Oklahoma State College,www.wosc.edu/
Formations Institute of Cosmetology & Barbering,formationsinstitute.edu/
High Plains Technology Center,https://www.hptc.edu/
Blue Mountain Community College,https://www.bluecc.edu/
Central Oregon Community College,www.cocc.edu/
Chemeketa Community College,www.chemeketa.edu/
Clackamas Community College,www.clackamas.edu/
Clatsop Community College,www.clatsopcc.edu/
College of Hair Design Careers,www.collegeofhairdesigncareers.com/
Concorde Career College-Portland,https://www.concorde.edu/campus/portland-oregon
Sumner College,sumnercollege.edu/
East West College of the Healing Arts,www.eastwestcollege.edu/
Eastern Oregon University,www.eou.edu/
New Hope Christian College-Eugene,www.newhope.edu/
George Fox University,https://www.georgefox.edu/
Phagans Grants Pass College of Beauty,www.phagans-schools.com/
Lane Community College,https://www.lanecc.edu/
Lewis & Clark College,www.lclark.edu/
Linfield University,https://www.linfield.edu/
Linn-Benton Community College,https://www.linnbenton.edu/
Northwest College-Beaverton,www.nwcollege.edu/
Phagans Medford Beauty School,www.phagans-schools.com/
Northwest College-Clackamas,www.nwcollege.edu/
Mount Angel Seminary,https://www.mountangelabbey.org/seminary
Mt Hood Community College,www.mhcc.edu/
Multnomah University,https://www.multnomah.edu/
National University of Natural Medicine,https://www.nunm.edu/
Bushnell University,www.bushnell.edu/
Oregon Health & Science University,www.ohsu.edu/
Oregon Institute of Technology,https://www.oit.edu/
Oregon State University,https://oregonstate.edu/
University of Oregon,https://www.uoregon.edu/
Pacific Northwest College of Art,willamette.edu/pnca/index.html
Pacific University,https://www.pacificu.edu/
